D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000179.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000791.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000797.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000202.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000342.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000085.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000139.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000131.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000292.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000368.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000411.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000428.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000826.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000699.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000282.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000662.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000306.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000377.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000470.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000099.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000572.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000503.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000164.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000678.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000014.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000683.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000042.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000595.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000078.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000221.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000438.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000348.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000238.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000335.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000620.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000494.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000367.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000674.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000087.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000732.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000647.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000258.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000669.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000660.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000530.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000537.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000678.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000189.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000420.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000521.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000644.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000257.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000231.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000475.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000507.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000475.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000707.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\rock\0000496.png,1
D:\WorkRoom\postgraduate\Study\Day5\rps\scissors\0000037.png,2
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000665.png,0
D:\WorkRoom\postgraduate\Study\Day5\rps\paper\0000432.png,0
